change_type,original_text,revised_text,issue_tags,reviewer_summary,label,assessment_label_id,issue_multihot,model_input
added,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained. 1.3 To strengthen accountability and transparency in the management of income-generating projects.,,The added objective is relevant to the management of income-generating projects and states a clear intended outcome.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.

[REVISED TEXT]
1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained. 1.3 To strengthen accountability and transparency in the management of income-generating projects."
modified,5.1 Enrollment and Assessment Form. 5.2 Application for Student Records. 5.3 Clearance. 5.4 Promissory Note.,"The following controlled forms shall be used, as applicable, in accounts-receivable transactions: 5.1 Enrollment and Assessment Form; 5.2 Application for Student Records; 5.3 Clearance; and 5.4 Promissory Note. Responsible personnel shall use the current approved version of the applicable form and retain completed forms according to the records-control procedure.",,The revision retains the complete forms list and adds appropriate controls for using current approved forms and retaining completed records.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
5.1 Enrollment and Assessment Form. 5.2 Application for Student Records. 5.3 Clearance. 5.4 Promissory Note.

[REVISED TEXT]
The following controlled forms shall be used, as applicable, in accounts-receivable transactions: 5.1 Enrollment and Assessment Form; 5.2 Application for Student Records; 5.3 Clearance; and 5.4 Promissory Note. Responsible personnel shall use the current approved version of the applicable form and retain completed forms according to the records-control procedure."
modified,"The University President oversees system operation. The PRAISE Committee establishes internal rewards and recognition procedures and strategies. The Search Committee or Director HRM searches, screens, and collects a list of deserving employees from each office. The Performance Management Team identifies potential PRAISE nominees from the collected list. The PRAISE Committee determines top performers who qualify for awards and incentives. The University President rewards deserving employees.",Employees may nominate themselves and receive awards after submitting a request.,missing_responsibility|missing_approval_step|missing_record_or_evidence|insufficient_detail,"The revision removes the established system oversight, committee procedures, screening, PMT nomination process, PRAISE Committee determination, and President's award role.",Needs Revision,1,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The University President oversees system operation. The PRAISE Committee establishes internal rewards and recognition procedures and strategies. The Search Committee or Director HRM searches, screens, and collects a list of deserving employees from each office. The Performance Management Team identifies potential PRAISE nominees from the collected list. The PRAISE Committee determines top performers who qualify for awards and incentives. The University President rewards deserving employees.

[REVISED TEXT]
Employees may nominate themselves and receive awards after submitting a request."
modified,VPs and Program Heads conduct planning sessions. The Planning Officer reviews OPCR and schedules PMT deliberation. PMT reviews OPCR alignment with the strategic plan and MFOs and recommends approval. The University President approves OPCR. College Deans or Directors assign tasks. Employees prepare IPCRs. College Deans or Office Chiefs sign and forward IPCRs. The Planning Officer consolidates IPCRs and forwards them to the President for approval. The President signs IPCRs and the Director HRM receives approved IPCRs.,"1. VPs and Program Heads shall conduct planning sessions with their units. 2. The Planning Officer shall review OPCRs and schedule PMT deliberation. 3. The PMT shall verify OPCR alignment with the University strategic plan and Major Final Outputs and recommend approval. 4. The University President shall review and approve the OPCR. 5. College Deans or Directors shall assign tasks needed to attain approved OPCR targets. 6. Employees shall agree to assigned tasks and prepare IPCRs. 7. College Deans or Office Chiefs shall review, sign, and forward IPCRs to the Planning Officer. 8. The Planning Officer shall consolidate IPCRs and forward them to the University President for approval and signature. 9. The Director HRM shall receive and maintain approved IPCRs.",,"The revision retains the planning, OPCR alignment, approval, task assignment, IPCR preparation, review, consolidation, and retention sequence while clarifying each role.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
VPs and Program Heads conduct planning sessions. The Planning Officer reviews OPCR and schedules PMT deliberation. PMT reviews OPCR alignment with the strategic plan and MFOs and recommends approval. The University President approves OPCR. College Deans or Directors assign tasks. Employees prepare IPCRs. College Deans or Office Chiefs sign and forward IPCRs. The Planning Officer consolidates IPCRs and forwards them to the President for approval. The President signs IPCRs and the Director HRM receives approved IPCRs.

[REVISED TEXT]
1. VPs and Program Heads shall conduct planning sessions with their units. 2. The Planning Officer shall review OPCRs and schedule PMT deliberation. 3. The PMT shall verify OPCR alignment with the University strategic plan and Major Final Outputs and recommend approval. 4. The University President shall review and approve the OPCR. 5. College Deans or Directors shall assign tasks needed to attain approved OPCR targets. 6. Employees shall agree to assigned tasks and prepare IPCRs. 7. College Deans or Office Chiefs shall review, sign, and forward IPCRs to the Planning Officer. 8. The Planning Officer shall consolidate IPCRs and forward them to the University President for approval and signature. 9. The Director HRM shall receive and maintain approved IPCRs."
modified,"The Preliminary Hearing Committee assesses complaints involving serious or very serious matters to determine whether they warrant formal investigation. The PHC consists of the VPSD, SSC Adviser, Guidance Counselor, and SSC President.","The Preliminary Hearing Committee shall assess documented reports involving serious or very serious matters to determine whether formal investigation is warranted. The PHC shall consist of the VPSD, SSC Adviser, Guidance Counselor, and SSC President, and its assessment shall be recorded with the case file.",,The revision retains the PHC function and composition while adding appropriate documentation of the preliminary assessment.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Preliminary Hearing Committee assesses complaints involving serious or very serious matters to determine whether they warrant formal investigation. The PHC consists of the VPSD, SSC Adviser, Guidance Counselor, and SSC President.

[REVISED TEXT]
The Preliminary Hearing Committee shall assess documented reports involving serious or very serious matters to determine whether formal investigation is warranted. The PHC shall consist of the VPSD, SSC Adviser, Guidance Counselor, and SSC President, and its assessment shall be recorded with the case file."
modified,"These procedures apply to standards, policies and guidelines on the operations of the Income Generating Office of Leyte Normal University.","These procedures apply to the planning, approval, implementation, procurement planning, delivery of purchases, sales, financial reporting, and disbursement activities of the Income Generating Office of Leyte Normal University.",,The revision remains within the Income Generating Office context and makes the operational coverage of the manual more explicit.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
These procedures apply to standards, policies and guidelines on the operations of the Income Generating Office of Leyte Normal University.

[REVISED TEXT]
These procedures apply to the planning, approval, implementation, procurement planning, delivery of purchases, sales, financial reporting, and disbursement activities of the Income Generating Office of Leyte Normal University."
modified,"The Academic Council deliberates the proposed new or revised curriculum for endorsement to the LNU Board of Regents. The LNU Board of Regents approves the proposed new or revised curriculum. The Curriculum Officer submits the approved curriculum to CHED, disseminates it after CHED approval, and the UCC Chair endorses implementation of the LNU-BOR approved and CHED compliant curriculum.","1. The Academic Council shall deliberate the proposed curriculum and endorse the documented recommendation to the LNU Board of Regents. 2. The LNU Board of Regents shall approve or disapprove the proposed curriculum. 3. The Curriculum Officer shall submit the approved curriculum to CHED for the applicable documentation and retain the submission record. 4. After CHED approval or required confirmation, the Curriculum Officer shall disseminate the curriculum to the VPAS, Deans, Program Chair, and Registrar. 5. The UCC Chair shall endorse implementation only after LNU-BOR approval and required CHED compliance are confirmed.",,"The revision retains Academic Council review, BOR decision, CHED documentation, dissemination, and implementation endorsement while clarifying approval prerequisites and records.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Academic Council deliberates the proposed new or revised curriculum for endorsement to the LNU Board of Regents. The LNU Board of Regents approves the proposed new or revised curriculum. The Curriculum Officer submits the approved curriculum to CHED, disseminates it after CHED approval, and the UCC Chair endorses implementation of the LNU-BOR approved and CHED compliant curriculum.

[REVISED TEXT]
1. The Academic Council shall deliberate the proposed curriculum and endorse the documented recommendation to the LNU Board of Regents. 2. The LNU Board of Regents shall approve or disapprove the proposed curriculum. 3. The Curriculum Officer shall submit the approved curriculum to CHED for the applicable documentation and retain the submission record. 4. After CHED approval or required confirmation, the Curriculum Officer shall disseminate the curriculum to the VPAS, Deans, Program Chair, and Registrar. 5. The UCC Chair shall endorse implementation only after LNU-BOR approval and required CHED compliance are confirmed."
modified,"The Budget Officer receives the approved budget from the concerned entity official, records it in the Registry of Budget, Utilization and Disbursements, records the approved budget in the Budgeted Amount column, and forwards budget documents to the Accounting Office. Accounting Staff-3 receives the budget documents and forwards Supporting Documents for payment claims to the Budget Office. The Budget Officer verifies budget availability in the RBUD, assigns a BURS number when budget is available, records the utilized amount in the Utilization column, reviews and certifies the BURS, and forwards copies to Accounting Staff-3 for claim processing.","1. The Budget Officer shall receive the approved budget and record it in the appropriate Registry of Budget, Utilization and Disbursements. 2. The Budget Officer shall enter the approved budget in the Budgeted Amount column and forward the budget documents to the Accounting Office for reference. 3. Accounting Staff-3 shall receive the budget documents and submit complete Supporting Documents for payment claims to the Budget Office. 4. The Budget Officer shall verify budget availability against the appropriate registry. 5. When budget is available, the Budget Officer shall assign a BURS control number, record the utilized amount in the Utilization column, review and sign the required certification, and forward the required copies to Accounting Staff-3 for claim processing.",,"The revision maintains the approved-budget recording, document handoff, availability verification, BURS numbering, utilization recording, certification, and claim-processing sequence.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Budget Officer receives the approved budget from the concerned entity official, records it in the Registry of Budget, Utilization and Disbursements, records the approved budget in the Budgeted Amount column, and forwards budget documents to the Accounting Office. Accounting Staff-3 receives the budget documents and forwards Supporting Documents for payment claims to the Budget Office. The Budget Officer verifies budget availability in the RBUD, assigns a BURS number when budget is available, records the utilized amount in the Utilization column, reviews and certifies the BURS, and forwards copies to Accounting Staff-3 for claim processing.

[REVISED TEXT]
1. The Budget Officer shall receive the approved budget and record it in the appropriate Registry of Budget, Utilization and Disbursements. 2. The Budget Officer shall enter the approved budget in the Budgeted Amount column and forward the budget documents to the Accounting Office for reference. 3. Accounting Staff-3 shall receive the budget documents and submit complete Supporting Documents for payment claims to the Budget Office. 4. The Budget Officer shall verify budget availability against the appropriate registry. 5. When budget is available, the Budget Officer shall assign a BURS control number, record the utilized amount in the Utilization column, review and sign the required certification, and forward the required copies to Accounting Staff-3 for claim processing."
modified,Delivery Lead Time has a maximum of 25 points and applies only to Regular External Providers. A score of 0-9 applies to the longest delivery lead time; 10-19 applies to a relatively shorter lead time; and 20-25 applies to the shortest delivery lead time among external providers.,"For Regular External Providers, Delivery Lead Time shall be scored up to 25 points based on documented comparative delivery performance: 0-9 points for the longest lead time, 10-19 points for a relatively shorter lead time, and 20-25 points for the shortest lead time among comparable external providers.",,"The revision retains the Regular Provider limitation, point maximum, and three lead-time score bands while clarifying that supporting delivery performance is documented.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Delivery Lead Time has a maximum of 25 points and applies only to Regular External Providers. A score of 0-9 applies to the longest delivery lead time; 10-19 applies to a relatively shorter lead time; and 20-25 applies to the shortest delivery lead time among external providers.

[REVISED TEXT]
For Regular External Providers, Delivery Lead Time shall be scored up to 25 points based on documented comparative delivery performance: 0-9 points for the longest lead time, 10-19 points for a relatively shorter lead time, and 20-25 points for the shortest lead time among comparable external providers."
modified,This procedure applies to evaluation of external providers that provide products or services to the Agency in accordance with RA 9184 Government Procurement Reform Act and its IRR.,"This procedure applies to the evaluation of external providers that supply products or services to the Agency, including the assessment, review, documentation, and reporting of their performance in accordance with applicable procurement requirements.",,The revision retains the external-provider and procurement context while clarifying the performance-evaluation activities covered by the procedure.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure applies to evaluation of external providers that provide products or services to the Agency in accordance with RA 9184 Government Procurement Reform Act and its IRR.

[REVISED TEXT]
This procedure applies to the evaluation of external providers that supply products or services to the Agency, including the assessment, review, documentation, and reporting of their performance in accordance with applicable procurement requirements."
modified,"Only the student can claim labor, allowance, stipend, subsidies, or refund. If the student cannot claim personally, an authorized person may claim on the student's behalf with a signed Authorization Letter, photocopies of valid IDs of the student and authorized person, and presentation of the original IDs for authenticity checking by the Special Disbursing Officer.","Only the student or a duly authorized representative may claim labor, allowances, stipends, subsidies, or refunds. A representative shall present a student-signed Authorization Letter, copies of valid identification documents for both persons, and the original IDs for verification by the Special Disbursing Officer before release.",,"The revision preserves the authorization, documentary, and identity-verification safeguards while organizing the claim conditions more clearly.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Only the student can claim labor, allowance, stipend, subsidies, or refund. If the student cannot claim personally, an authorized person may claim on the student's behalf with a signed Authorization Letter, photocopies of valid IDs of the student and authorized person, and presentation of the original IDs for authenticity checking by the Special Disbursing Officer.

[REVISED TEXT]
Only the student or a duly authorized representative may claim labor, allowances, stipends, subsidies, or refunds. A representative shall present a student-signed Authorization Letter, copies of valid identification documents for both persons, and the original IDs for verification by the Special Disbursing Officer before release."
removed,"The LNU Strategic Performance Management System aims to develop a performance-oriented culture among faculty and staff; align individual outputs with University MFOs, outcomes, and national priorities; cascade institutional accountabilities; link SPMS with HR systems for performance-based tenure, incentives, and rewards; improve performance efficiency and productivity; record attendance; and provide payroll data.",The SPMS shall evaluate employees.,ambiguous_language|insufficient_detail|unclear_scope,"The revision removes the objectives concerning strategic alignment, institutional accountability, HR-system linkage, performance improvement, attendance monitoring, and payroll data.",Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
The LNU Strategic Performance Management System aims to develop a performance-oriented culture among faculty and staff; align individual outputs with University MFOs, outcomes, and national priorities; cascade institutional accountabilities; link SPMS with HR systems for performance-based tenure, incentives, and rewards; improve performance efficiency and productivity; record attendance; and provide payroll data.

[REVISED TEXT]
The SPMS shall evaluate employees."
removed,"The Purchaser or End-User evaluates accredited external providers by accomplishing the External Provider Performance Evaluation Form and forwards results to the Supply and Property Officer for review and approval. The Supply and Property Officer reviews and approves the form and forwards it to the Purchaser. The Purchaser or Supply and Property Officer summarizes the evaluation results, prepares the External Providers Performance Report, and updates the List of Accredited External Providers if needed.",The Supply and Property Officer shall evaluate providers and update the list.,missing_responsibility|missing_record_or_evidence|missing_traceability|insufficient_detail,"The revision removes the Purchaser or End-User role, the External Provider Performance Evaluation Form, review and approval separation, evaluation report, and conditions for updating the accredited-provider list.",Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
The Purchaser or End-User evaluates accredited external providers by accomplishing the External Provider Performance Evaluation Form and forwards results to the Supply and Property Officer for review and approval. The Supply and Property Officer reviews and approves the form and forwards it to the Purchaser. The Purchaser or Supply and Property Officer summarizes the evaluation results, prepares the External Providers Performance Report, and updates the List of Accredited External Providers if needed.

[REVISED TEXT]
The Supply and Property Officer shall evaluate providers and update the list."
modified,"Faculty or Staff with approved scholarship accomplishes the Scholar Personal Information Form and submits a Program of Study and re-entry plan. The FSDP Committee issues a Notice of Scholarship Award. The Board and University Secretary prepares the scholarship contract. The Scholar submits a Scholarship Status Report every semester or term and, at the end of the scholarship contract, submits the Transcript of Record, Diploma, Revised Re-entry Plan, hard-bound thesis or dissertation, and Scholarship Status Report.","1. A Faculty or Staff member with approved scholarship shall complete the Scholar Personal Information Form and submit the Program of Study and re-entry plan within the approved scholarship period. 2. The FSDP Committee shall issue the Notice of Scholarship Award. 3. The Board and University Secretary shall prepare the scholarship contract. 4. The Scholar shall submit a Scholarship Status Report at the end of each semester or term. 5. At the end of the scholarship contract, the Scholar shall submit the required Transcript of Record, Diploma, Revised Re-entry Plan, thesis or dissertation copy when applicable, and final Scholarship Status Report.",,"The revision retains the approved-scholar documentation, award notice, contract, periodic status report, and end-of-scholarship documentary requirements.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Faculty or Staff with approved scholarship accomplishes the Scholar Personal Information Form and submits a Program of Study and re-entry plan. The FSDP Committee issues a Notice of Scholarship Award. The Board and University Secretary prepares the scholarship contract. The Scholar submits a Scholarship Status Report every semester or term and, at the end of the scholarship contract, submits the Transcript of Record, Diploma, Revised Re-entry Plan, hard-bound thesis or dissertation, and Scholarship Status Report.

[REVISED TEXT]
1. A Faculty or Staff member with approved scholarship shall complete the Scholar Personal Information Form and submit the Program of Study and re-entry plan within the approved scholarship period. 2. The FSDP Committee shall issue the Notice of Scholarship Award. 3. The Board and University Secretary shall prepare the scholarship contract. 4. The Scholar shall submit a Scholarship Status Report at the end of each semester or term. 5. At the end of the scholarship contract, the Scholar shall submit the required Transcript of Record, Diploma, Revised Re-entry Plan, thesis or dissertation copy when applicable, and final Scholarship Status Report."
removed,5.1 Obligation Request and Status. 5.2 Budget Utilization Request and Status. 5.3 Disbursement Voucher. 5.4 Purchase Order.,Use the required forms for budget transactions.,ambiguous_language|missing_record_or_evidence|missing_traceability|insufficient_detail,"The revision removes the names of the required forms and does not identify which document is used for obligations, budget utilization, disbursement, or purchase orders.",Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
5.1 Obligation Request and Status. 5.2 Budget Utilization Request and Status. 5.3 Disbursement Voucher. 5.4 Purchase Order.

[REVISED TEXT]
Use the required forms for budget transactions."
modified,"The Program Chair secures authority from the UCC Chair or VPAS to develop or revise a curriculum and writes a request. The UCC conducts orientation. The Program Curriculum Committee crafts the proposed curriculum, the CCC deliberates it for endorsement to the UCC, and the UCC deliberates it for stakeholder consultation and submission to the Academic Council.","1. The Program Chair shall secure authority from the UCC Chair or VPAS to develop or revise a curriculum and submit the Request to Develop or Revise a Curriculum. 2. The UCC shall conduct orientation on the approved development or revision process. 3. The Program Curriculum Committee shall craft the proposed curriculum. 4. The CCC shall deliberate the proposal and endorse it to the UCC when appropriate. 5. The UCC shall deliberate the proposal, ensure stakeholder consultation, and submit the documented proposal to the Academic Council.",,"The revision preserves authorization, request documentation, orientation, drafting, CCC deliberation, UCC review, stakeholder consultation, and Academic Council submission.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Program Chair secures authority from the UCC Chair or VPAS to develop or revise a curriculum and writes a request. The UCC conducts orientation. The Program Curriculum Committee crafts the proposed curriculum, the CCC deliberates it for endorsement to the UCC, and the UCC deliberates it for stakeholder consultation and submission to the Academic Council.

[REVISED TEXT]
1. The Program Chair shall secure authority from the UCC Chair or VPAS to develop or revise a curriculum and submit the Request to Develop or Revise a Curriculum. 2. The UCC shall conduct orientation on the approved development or revision process. 3. The Program Curriculum Committee shall craft the proposed curriculum. 4. The CCC shall deliberate the proposal and endorse it to the UCC when appropriate. 5. The UCC shall deliberate the proposal, ensure stakeholder consultation, and submit the documented proposal to the Academic Council."
added,"The LNU Strategic Performance Management System aims to develop a performance-oriented culture among faculty and staff; align individual outputs with University MFOs, outcomes, and national priorities; cascade institutional accountabilities; link SPMS with HR systems for performance-based tenure, incentives, and rewards; improve performance efficiency and productivity; record attendance; and provide payroll data.","The LNU Strategic Performance Management System aims to develop a performance-oriented culture among faculty and staff; align individual outputs with University MFOs, outcomes, and national priorities; cascade institutional accountabilities; link SPMS with HR systems for performance-based tenure, incentives, and rewards; improve performance efficiency and productivity; record attendance; and provide payroll data. 1.7 To maintain documented and traceable performance commitments, assessments, approvals, and development interventions.",,The added objective is relevant to SPMS implementation and supports accountability through traceable performance records.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
The LNU Strategic Performance Management System aims to develop a performance-oriented culture among faculty and staff; align individual outputs with University MFOs, outcomes, and national priorities; cascade institutional accountabilities; link SPMS with HR systems for performance-based tenure, incentives, and rewards; improve performance efficiency and productivity; record attendance; and provide payroll data.

[REVISED TEXT]
The LNU Strategic Performance Management System aims to develop a performance-oriented culture among faculty and staff; align individual outputs with University MFOs, outcomes, and national priorities; cascade institutional accountabilities; link SPMS with HR systems for performance-based tenure, incentives, and rewards; improve performance efficiency and productivity; record attendance; and provide payroll data. 1.7 To maintain documented and traceable performance commitments, assessments, approvals, and development interventions."
modified,Any records which may contain personal information shall be handled in accordance with Republic Act 10173 or the Data Privacy Act of 2012.,Award nominees and their records may be shared with any interested person.,possible_contradiction|missing_approval_step|missing_traceability|insufficient_detail,"The revision removes data-privacy safeguards and does not define authorized access, lawful purpose, or controls for disclosing nominee information.",Needs Revision,1,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Any records which may contain personal information shall be handled in accordance with Republic Act 10173 or the Data Privacy Act of 2012.

[REVISED TEXT]
Award nominees and their records may be shared with any interested person."
modified,"3.7 The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of every month. 3.8 The Stall Holder shall pay power consumption and the stated water charge within three working days after receipt of the bill. 3.9 If payment is overdue, the LNU-IGO will issue three notices at one-week intervals. Failure to settle the outstanding balance within seven days after the third notice may result in termination, repossession of the stall, and public bidding.","The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of each month and shall settle billed electricity and water charges within three working days after receiving the billing statement. The Income Generating Office shall document overdue accounts and issue three written notices at one-week intervals. If the outstanding balance remains unpaid seven calendar days after the third notice, the LNU-IGO may initiate contract-termination and stall-recovery procedures subject to the applicable agreement.",,"The revision retains the responsible party, payment deadlines, escalation sequence, and possible consequence while improving clarity and making overdue-account documentation explicit.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.7 The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of every month. 3.8 The Stall Holder shall pay power consumption and the stated water charge within three working days after receipt of the bill. 3.9 If payment is overdue, the LNU-IGO will issue three notices at one-week intervals. Failure to settle the outstanding balance within seven days after the third notice may result in termination, repossession of the stall, and public bidding.

[REVISED TEXT]
The Stall Holder shall pay monthly rental through the University Cashier on or before the last day of each month and shall settle billed electricity and water charges within three working days after receiving the billing statement. The Income Generating Office shall document overdue accounts and issue three written notices at one-week intervals. If the outstanding balance remains unpaid seven calendar days after the third notice, the LNU-IGO may initiate contract-termination and stall-recovery procedures subject to the applicable agreement."
removed,"Faculty or Staff completes the Application for Scholarship Form. The College Dean or VPAS recommends the application when the applicant meets conditions including item position, age requirement, Very Satisfactory performance, FSDP Plan schedule, and Certificate of Acceptance. The FSDP Committee recommends approval, disapproval, or deferment through an FSDP Resolution. The University President signs the resolution and endorses the application to the Board of Regents. The Board of Regents approves the application.",The University President approves scholarship applications.,missing_responsibility|missing_approval_step|missing_record_or_evidence|insufficient_detail,"The revision removes the applicant form, eligibility conditions, College Dean or VPAS recommendation, FSDP Committee resolution, and Board of Regents approval.",Needs Revision,1,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
Faculty or Staff completes the Application for Scholarship Form. The College Dean or VPAS recommends the application when the applicant meets conditions including item position, age requirement, Very Satisfactory performance, FSDP Plan schedule, and Certificate of Acceptance. The FSDP Committee recommends approval, disapproval, or deferment through an FSDP Resolution. The University President signs the resolution and endorses the application to the Board of Regents. The Board of Regents approves the application.

[REVISED TEXT]
The University President approves scholarship applications."
removed,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.,1.1 To earn income for the University.,insufficient_detail|unclear_scope,The revision removes the objective of ensuring that guidelines and policies are followed and narrows the purpose to income generation without describing the required management controls.,Needs Revision,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.

[REVISED TEXT]
1.1 To earn income for the University."
modified,This procedure applies to the performance management of LNU employees in the career and non-career service.,"This procedure applies to the planning, commitment, monitoring, coaching, review, rating, rewarding, development planning, attendance recording, and performance-related documentation of LNU employees in the career and non-career service.",,The revision retains the employee coverage and clarifies the performance-management activities governed by the procedure.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure applies to the performance management of LNU employees in the career and non-career service.

[REVISED TEXT]
This procedure applies to the planning, commitment, monitoring, coaching, review, rating, rewarding, development planning, attendance recording, and performance-related documentation of LNU employees in the career and non-career service."
modified,"The Purchaser or End-User evaluates accredited external providers by accomplishing the External Provider Performance Evaluation Form and forwards results to the Supply and Property Officer for review and approval. The Supply and Property Officer reviews and approves the form and forwards it to the Purchaser. The Purchaser or Supply and Property Officer summarizes the evaluation results, prepares the External Providers Performance Report, and updates the List of Accredited External Providers if needed.","1. The Purchaser or End-User shall evaluate each accredited external provider by completing the External Provider Performance Evaluation Form with supporting performance information. 2. The Purchaser or End-User shall forward the completed form to the Supply and Property Officer for review and approval. 3. The Supply and Property Officer shall review, approve, and return the completed evaluation to the Purchaser. 4. The Purchaser or Supply and Property Officer shall summarize the approved results, prepare the External Providers Performance Report, and update the List of Accredited External Providers when the evaluation result requires it.",,"The revision preserves the evaluation form, review and approval, report preparation, and accredited-list update while clarifying the handoffs and decision basis.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Purchaser or End-User evaluates accredited external providers by accomplishing the External Provider Performance Evaluation Form and forwards results to the Supply and Property Officer for review and approval. The Supply and Property Officer reviews and approves the form and forwards it to the Purchaser. The Purchaser or Supply and Property Officer summarizes the evaluation results, prepares the External Providers Performance Report, and updates the List of Accredited External Providers if needed.

[REVISED TEXT]
1. The Purchaser or End-User shall evaluate each accredited external provider by completing the External Provider Performance Evaluation Form with supporting performance information. 2. The Purchaser or End-User shall forward the completed form to the Supply and Property Officer for review and approval. 3. The Supply and Property Officer shall review, approve, and return the completed evaluation to the Purchaser. 4. The Purchaser or Supply and Property Officer shall summarize the approved results, prepare the External Providers Performance Report, and update the List of Accredited External Providers when the evaluation result requires it."
